,Amount,Boxes Shipped,Discount,Cost,Profit,Cluster
143,6857.25,180,20,4059.07,2798.18,6
144,6093.17,35,0,4020.57,2072.6,0
145,5462.5,109,0,3929.68,1532.82,2
146,2449.55,8,0,1619.75,829.8,5
147,4302.92,40,0,2410.28,1892.64,0
148,9008.52,156,5,5930.92,3077.6,1
149,9743.53,42,25,4945.89,4797.64,8
150,4765.3,52,0,2848.57,1916.73,0
151,1335.19,37,15,682.89,652.3,3
152,3043.93,186,0,2163.85,880.08,9
153,3297.95,129,5,2303.72,994.23,2
154,4532.89,199,0,3072.58,1460.31,2
155,6805.24,83,0,3906.19,2899.05,4
156,8234.43,83,0,6226.66,2007.77,7
157,8456.47,140,15,5588.48,2867.99,8
158,4376.48,187,0,3312.7,1063.78,2
159,6249.65,194,0,3297.14,2952.51,1
160,5048.23,65,10,3287.25,1760.98,0
161,7090.7,187,5,5771.21,1319.49,7
162,1887.7,164,0,1189.75,697.95,9
163,1644.0,94,0,857.69,786.31,5
164,2625.82,147,0,1595.11,1030.71,9
165,4145.0,49,0,2663.09,1481.91,0
166,7469.08,55,0,5160.47,2308.61,4
167,6618.53,46,0,3843.47,2775.06,4
168,6200.12,87,0,4075.01,2125.11,0
169,2165.28,178,5,1448.58,716.7,9
170,2516.96,143,0,1727.28,789.68,9
171,2053.14,111,0,1085.19,967.95,9
172,3332.97,198,0,2545.91,787.06,2
173,3123.55,28,10,2504.48,619.07,5
174,4637.76,60,0,2330.49,2307.27,0
175,529.0,25,0,316.11,212.89,5
176,1734.35,46,0,1139.76,594.59,5
177,6919.59,11,15,5402.42,1517.17,8
178,7246.65,199,0,5163.16,2083.49,7
179,6249.01,44,0,5063.46,1185.55,0
180,1992.36,121,0,1539.96,452.4,9
181,4069.86,62,0,3048.55,1021.31,0
182,1747.74,197,0,1420.88,326.86,9
183,4980.97,67,0,4190.97,790.0,0
184,1909.71,85,20,1417.43,492.28,3
185,3437.75,114,20,2787.65,650.1,3
186,8805.19,26,0,6424.22,2380.97,4
187,6801.01,138,0,5002.07,1798.94,7
188,9594.72,33,0,7965.04,1629.68,4
189,7207.07,132,25,5905.78,1301.29,6
190,2542.65,114,0,1477.61,1065.04,9
191,2769.3,91,0,1881.58,887.72,5
192,3396.0,146,0,1955.38,1440.62,2
193,1537.65,70,20,1258.86,278.79,3
194,4042.28,200,20,2037.69,2004.59,6
195,4929.91,89,0,3954.57,975.34,0
196,7071.05,20,0,6004.82,1066.23,4
197,9204.94,75,0,7209.93,1995.01,7
198,5372.48,33,0,4449.72,922.76,0
199,8375.93,152,0,4359.33,4016.6,1
200,9049.5,154,0,6314.11,2735.39,7
201,281.82,190,5,182.37,99.45,9
202,9621.38,174,20,5946.75,3674.63,8
203,9350.31,105,5,5035.6,4314.71,1
204,2975.56,103,20,2035.24,940.32,3
205,2475.66,105,0,1629.72,845.94,9
206,2786.92,97,0,2011.92,775.0,5
207,8575.29,19,0,5141.61,3433.68,4
208,6005.6,70,0,3074.08,2931.52,0
209,1657.04,180,15,1156.2,500.84,3
210,4913.76,73,15,2738.45,2175.31,6
211,8282.13,107,0,4951.69,3330.44,1
212,318.61,33,0,262.69,55.92,5
213,8943.0,198,0,7481.73,1461.27,7
214,5969.48,179,20,3557.3,2412.18,6
215,9516.32,46,0,5656.45,3859.87,4
216,9624.19,10,25,5413.88,4210.31,8
217,3118.03,119,0,1608.86,1509.17,2
218,521.65,39,0,350.43,171.22,5
219,9583.8,138,0,5335.19,4248.61,1
220,1819.45,110,20,1126.29,693.16,3
221,743.13,191,0,479.43,263.7,9
222,7180.33,168,0,4213.82,2966.51,1
223,3736.13,69,0,2304.14,1431.99,0
224,4043.7,146,0,2159.84,1883.86,2
225,2631.87,4,0,1858.36,773.51,5
226,9543.93,84,0,6138.5,3405.43,4
227,1539.91,179,10,997.19,542.72,9
228,2550.89,69,0,2055.65,495.24,5
229,918.81,112,0,741.36,177.45,9
230,5332.72,139,5,2714.77,2617.95,2
231,346.37,195,0,181.65,164.72,9
232,6718.51,64,0,5617.35,1101.16,0
233,2608.88,19,0,1407.57,1201.31,5
234,3096.02,199,5,2011.67,1084.35,2
235,4499.33,123,25,3641.43,857.9,6
236,5679.0,48,0,3353.35,2325.65,0
237,7712.92,51,0,5178.6,2534.32,4
238,8997.39,53,0,7408.82,1588.57,4
239,6861.14,74,0,5251.87,1609.27,0
240,6641.58,68,15,4366.09,2275.49,8
241,5320.07,158,5,2767.35,2552.72,2
242,2016.5,153,5,1214.23,802.27,9
243,854.91,143,25,450.65,404.26,3
244,3684.48,84,0,2939.78,744.7,0
245,8301.36,39,0,6566.93,1734.43,4
246,4898.25,137,0,3474.83,1423.42,2
247,9776.53,13,5,6678.27,3098.26,4
248,5238.01,172,15,3955.17,1282.84,6
249,9260.94,100,5,7127.18,2133.76,7
250,3931.64,71,0,3075.63,856.01,0
251,8969.43,173,25,5658.97,3310.46,8
252,7115.33,125,25,5572.48,1542.85,6
253,5128.97,78,25,3212.29,1916.68,6
254,1181.14,72,0,704.71,476.43,5
255,886.93,122,0,643.74,243.19,9
256,4696.43,43,0,2713.84,1982.59,0
257,7825.98,184,0,6367.66,1458.32,7
258,5599.38,197,25,4621.57,977.81,6
259,6113.68,132,25,5025.4,1088.28,6
260,3673.53,46,25,2474.58,1198.95,3
261,9309.83,54,0,6873.43,2436.4,4
262,5166.45,195,0,3769.24,1397.21,2
263,568.76,153,0,298.16,270.6,9
264,9613.55,154,0,7289.25,2324.3,7
265,9640.27,198,0,6604.29,3035.98,1
266,7070.0,120,0,4273.66,2796.34,1
267,3496.14,189,0,2482.69,1013.45,2
268,8561.47,115,0,5007.86,3553.61,1
269,2601.13,50,20,1883.2,717.93,3
270,9790.01,97,0,4948.39,4841.62,1
271,459.04,120,0,255.26,203.78,9
272,8703.35,107,10,6005.59,2697.76,7
273,6317.03,62,15,5097.7,1219.33,8
274,6609.83,5,0,4088.02,2521.81,4
275,583.52,153,0,419.48,164.04,9
276,9194.74,81,15,6804.05,2390.69,8
277,6788.05,149,20,5469.15,1318.9,6
278,1445.44,180,0,969.73,475.71,9
279,2713.59,132,10,1363.65,1349.94,9
280,7454.98,187,0,6013.44,1441.54,7
281,2203.9,15,0,1191.58,1012.32,5
282,2893.75,142,5,1906.11,987.64,9
283,4188.48,46,5,3441.43,747.05,0
284,2458.87,60,0,2057.72,401.15,5
285,1825.1,159,25,1081.97,743.13,3
286,3355.2,124,0,2333.21,1021.99,2
287,8064.73,199,5,6173.9,1890.83,7
288,1892.71,179,0,1366.2,526.51,9
289,1381.69,90,15,866.48,515.21,3
290,9650.84,197,25,4966.18,4684.66,1
291,4921.91,108,10,4124.86,797.05,2
292,6239.72,94,0,4417.77,1821.95,0
293,279.3,103,0,177.6,101.7,9
294,6070.85,170,0,3946.55,2124.3,2
295,5063.49,139,0,4267.26,796.23,2
296,6343.27,152,0,3949.83,2393.44,2
297,3157.77,45,20,2329.12,828.65,3
298,4741.08,53,20,2736.09,2004.99,6
299,8591.86,46,15,5380.9,3210.96,8
300,2091.59,125,0,1124.63,966.96,9
301,4992.15,177,25,3605.78,1386.37,6
302,3776.2,129,0,2599.39,1176.81,2
303,9789.82,159,0,5730.69,4059.13,1
304,8140.91,3,0,5119.12,3021.79,4
305,8928.31,105,25,6241.36,2686.95,8
306,9324.56,164,0,4827.13,4497.43,1
307,7701.95,155,0,6543.94,1158.01,7
308,3759.4,66,25,2473.79,1285.61,3
309,1827.2,7,10,1287.49,539.71,5
310,3803.32,65,0,3050.02,753.3,0
311,8326.13,101,0,6483.3,1842.83,7
312,3682.22,59,0,1873.32,1808.9,0
313,5028.69,67,5,3702.45,1326.24,0
314,443.78,108,0,298.59,145.19,9
315,5864.91,163,0,3704.74,2160.17,2
316,3301.72,81,5,1924.86,1376.86,0
317,5908.12,94,0,3933.53,1974.59,0
318,2960.63,124,0,2410.43,550.2,9
319,9432.58,117,0,5991.51,3441.07,1
320,980.2,72,0,788.33,191.87,5
321,5931.87,152,25,3620.68,2311.19,6
322,1338.53,65,0,743.65,594.88,5
323,5587.34,144,5,3314.74,2272.6,2
324,5839.95,192,0,3713.9,2126.05,2
325,7429.84,131,20,4542.95,2886.89,6
326,5027.74,80,5,4162.69,865.05,0
327,7107.83,18,5,5767.14,1340.69,4
328,1769.87,137,0,1246.09,523.78,9
329,6965.85,59,5,5678.02,1287.83,0
330,5350.87,173,20,4486.56,864.31,6
331,7523.23,116,0,3873.5,3649.73,1
332,8402.97,11,0,6740.31,1662.66,4
333,7935.1,109,0,5996.4,1938.7,7
334,6465.18,53,0,4407.91,2057.27,0
335,283.39,136,0,155.99,127.4,9
336,4443.12,92,0,3653.96,789.16,0
337,1428.9,135,0,792.46,636.44,9
338,6212.01,193,0,4771.04,1440.97,2
339,6152.85,10,0,4640.17,1512.68,0
340,2301.51,107,25,1282.37,1019.14,3
341,347.85,166,0,285.78,62.07,9
342,2760.56,42,0,1568.61,1191.95,5
343,3768.94,61,10,2134.91,1634.03,0
344,7250.6,192,0,5882.77,1367.83,7
345,9966.7,180,20,8423.05,1543.65,7
346,8508.19,182,0,6865.67,1642.52,7
347,5500.75,45,0,3406.34,2094.41,0
348,6437.51,101,0,5217.75,1219.76,7
349,7450.08,158,10,3727.11,3722.97,1
350,128.91,126,5,99.12,29.79,9
351,109.27,2,0,70.48,38.79,5
352,4713.58,129,5,3601.53,1112.05,2
353,909.88,162,0,768.73,141.15,9
354,4467.82,58,0,2440.61,2027.21,0
355,7809.59,188,0,4756.81,3052.78,1
356,8269.0,108,5,4774.01,3494.99,1
357,311.77,115,15,214.59,97.18,3
358,4309.14,178,0,3232.8,1076.34,2
359,5628.3,65,0,3197.02,2431.28,0
360,6115.01,167,0,3916.67,2198.34,2
361,5099.84,159,0,3987.97,1111.87,2
362,5879.06,10,20,4021.1,1857.96,8
363,6898.63,166,5,5600.11,1298.52,7
364,3371.71,30,15,2563.18,808.53,3
365,8062.38,17,25,6421.19,1641.19,8
366,2249.75,88,20,1482.16,767.59,3
367,8302.69,186,25,6526.37,1776.32,6
368,1295.35,172,25,804.17,491.18,3
369,5996.75,145,0,4797.88,1198.87,2
370,171.09,94,0,127.11,43.98,5
371,3172.81,178,25,2275.65,897.16,6
372,5103.29,74,15,3884.18,1219.11,6
373,6713.79,87,0,4750.89,1962.9,0
374,8911.86,180,0,6466.83,2445.03,7
375,2452.23,40,0,1573.47,878.76,5
376,2838.21,76,5,1426.54,1411.67,5
377,2727.53,35,15,1986.93,740.6,3
378,2976.79,20,10,1607.04,1369.75,5
379,8709.3,198,15,5317.23,3392.07,1
380,9180.81,6,20,6290.53,2890.28,8
381,5916.22,94,10,3943.26,1972.96,0
382,5719.74,154,20,3214.85,2504.89,6
383,9367.29,16,20,7064.34,2302.95,8
384,7289.45,21,0,4411.33,2878.12,4
385,789.23,132,15,640.96,148.27,3
386,9123.66,55,20,7162.52,1961.14,8
387,9779.62,196,0,7846.43,1933.19,7
388,5143.52,170,25,3913.75,1229.77,6
389,7231.92,12,0,5482.9,1749.02,4
390,6612.71,37,20,4066.38,2546.33,8
391,838.06,38,20,653.65,184.41,3
392,7974.13,72,20,4302.69,3671.44,8
393,8327.39,32,0,4713.4,3613.99,4
394,5967.17,190,0,3763.74,2203.43,2
395,316.08,3,20,247.12,68.96,3
396,9872.11,4,10,5650.55,4221.56,4
397,7023.15,111,0,5590.78,1432.37,7
398,8681.54,108,5,4733.18,3948.36,1
399,2266.07,189,0,1602.59,663.48,9
400,9109.06,198,0,5587.68,3521.38,1
401,4114.89,76,20,3127.4,987.49,3
402,5115.09,34,5,3934.41,1180.68,0
403,9473.5,73,0,6432.33,3041.17,4
404,8832.23,113,0,6168.04,2664.19,7
405,1324.71,151,0,969.61,355.1,9
406,3951.59,142,0,2507.86,1443.73,2
407,7465.92,192,20,4425.52,3040.4,6
408,2374.67,148,0,1926.63,448.04,9
409,7939.72,19,5,4500.91,3438.81,4
410,9396.31,76,0,5614.9,3781.41,4
411,3850.78,62,0,2002.43,1848.35,0
412,7522.45,59,20,5792.69,1729.76,8
413,5597.02,93,0,3774.53,1822.49,0
414,2568.65,186,15,1809.29,759.36,3
415,4200.94,155,25,2895.72,1305.22,6
416,2152.46,171,20,1201.77,950.69,3
417,3341.76,155,0,2440.22,901.54,2
418,8733.95,140,10,5383.15,3350.8,1
419,705.21,91,10,374.75,330.46,3
420,2726.44,30,20,1866.96,859.48,3
421,9999.39,47,0,7158.04,2841.35,4
422,4399.02,56,0,3734.24,664.78,0
423,6313.42,125,5,3506.77,2806.65,1
424,6673.47,75,0,4662.28,2011.19,0
425,836.54,76,0,552.33,284.21,5
426,4584.75,72,15,2543.72,2041.03,6
427,1210.54,125,15,721.48,489.06,3
428,7121.72,131,25,5990.24,1131.48,6
429,4170.8,105,0,2893.48,1277.32,2
430,6427.54,151,20,3989.85,2437.69,6
431,6624.96,136,0,4885.84,1739.12,7
432,8440.89,187,0,6324.17,2116.72,7
433,5277.39,16,5,4045.4,1231.99,0
434,612.61,163,0,417.06,195.55,9
435,4270.25,40,0,3524.62,745.63,0
436,7050.37,164,5,5698.68,1351.69,7
437,6698.07,55,0,3419.46,3278.61,4
438,9502.52,112,0,6504.3,2998.22,1
439,217.73,149,10,138.69,79.04,9
440,5066.3,156,0,4278.96,787.34,2
441,785.93,51,0,456.99,328.94,5
442,5110.7,199,0,3868.41,1242.29,2
443,4133.47,173,0,2683.43,1450.04,2
444,7469.68,114,0,4265.23,3204.45,1
445,815.39,156,20,498.88,316.51,3
446,945.74,23,25,572.69,373.05,3
447,5192.8,138,0,2625.53,2567.27,2
448,6647.95,77,5,3778.97,2868.98,4
449,7264.08,1,0,4794.01,2470.07,4
450,1570.89,34,0,1066.35,504.54,5
451,2298.95,155,5,1363.33,935.62,9
452,9826.29,35,10,8142.39,1683.9,4
453,4919.96,61,0,2708.19,2211.77,0
454,220.1,14,10,173.76,46.34,5
455,4211.04,153,5,3114.07,1096.97,2
456,5378.58,24,15,3668.94,1709.64,0
457,4480.47,184,20,3552.46,928.01,6
458,6709.77,185,0,4754.38,1955.39,7
459,4812.83,72,0,3986.43,826.4,0
460,5070.73,146,0,4113.27,957.46,2
461,3400.71,131,0,2523.55,877.16,2
462,9049.83,20,10,6386.7,2663.13,4
463,9613.38,130,0,6687.97,2925.41,1
464,2156.33,79,0,1772.29,384.04,5
465,7860.99,120,20,6207.01,1653.98,8
466,3350.02,176,0,2735.54,614.48,2
467,4953.69,133,25,3203.69,1750.0,6
468,2797.59,183,5,1980.41,817.18,9
469,6816.25,77,10,5705.75,1110.5,7
470,5979.12,119,0,4012.16,1966.96,2
471,9833.89,62,5,8141.7,1692.19,7
472,7381.12,15,0,3893.88,3487.24,4
473,6869.73,187,0,5157.02,1712.71,7
474,8552.27,97,20,4636.05,3916.22,8
475,5903.38,146,25,3387.85,2515.53,6
476,8446.93,198,0,5744.66,2702.27,1
477,934.93,84,0,688.33,246.6,5
478,5671.53,62,0,2917.31,2754.22,0
479,6139.57,62,0,4618.55,1521.02,0
480,976.34,106,5,723.89,252.45,9
481,8839.8,60,0,6351.79,2488.01,4
482,6366.1,65,0,3873.85,2492.25,0
483,8534.43,43,10,6786.7,1747.73,4
484,1366.69,96,5,1136.23,230.46,5
485,2822.93,197,5,2392.85,430.08,9
486,7611.39,97,5,4881.4,2729.99,4
487,2950.2,29,0,1608.64,1341.56,5
488,9984.51,186,0,6533.88,3450.63,1
489,1582.53,185,0,1045.77,536.76,9
490,5249.47,88,15,3790.69,1458.78,6
491,7896.82,67,20,5048.2,2848.62,8
492,5810.98,12,0,3908.52,1902.46,0
493,2463.36,11,0,1541.12,922.24,5
494,4306.33,39,0,2495.57,1810.76,0
495,3523.3,54,0,2862.13,661.17,0
496,4742.15,91,0,3550.92,1191.23,0
497,4160.52,114,0,2916.72,1243.8,2
498,7282.43,138,15,4366.42,2916.01,6
499,7731.37,138,0,4025.31,3706.06,1
500,3181.68,65,0,1884.17,1297.51,5
501,461.47,121,0,265.4,196.07,9
502,6453.77,128,5,4418.85,2034.92,2
503,2724.23,32,25,2219.07,505.16,3
504,8586.83,129,0,4328.39,4258.44,1
505,9837.89,96,15,5913.34,3924.55,8
506,249.81,69,0,135.59,114.22,5
507,7137.75,52,0,3898.31,3239.44,4
508,8038.97,62,0,6132.2,1906.77,4
509,8988.34,200,0,5352.34,3636.0,1
510,1320.81,104,0,723.14,597.67,9
511,544.22,108,20,400.62,143.6,3
512,3742.49,164,15,2186.62,1555.87,6
513,6714.3,186,0,5047.64,1666.66,7
514,7949.8,197,15,6373.16,1576.64,7
515,2203.95,31,0,1151.87,1052.08,5
516,2919.21,112,0,2295.0,624.21,9
517,9722.78,107,0,5684.97,4037.81,1
518,3075.86,84,0,2347.2,728.66,5
519,4174.25,57,0,3238.49,935.76,0
520,5335.46,194,10,3012.58,2322.88,2
521,2950.99,152,15,2448.37,502.62,3
522,5051.37,146,20,4147.22,904.15,6
523,9543.75,134,25,6652.13,2891.62,8
524,5010.68,181,0,2957.75,2052.93,2
525,3322.89,198,0,2615.37,707.52,2
526,7018.35,112,10,5920.0,1098.35,7
527,2444.98,155,5,1614.51,830.47,9
528,5553.38,81,0,3367.55,2185.83,0
529,7789.43,167,0,5406.66,2382.77,7
530,1422.8,105,0,871.8,551.0,9
531,570.15,60,0,397.64,172.51,5
532,1512.19,90,0,1165.63,346.56,5
533,6511.13,162,0,3570.71,2940.42,1
534,6460.3,119,5,3731.88,2728.42,1
535,2762.42,19,5,1497.14,1265.28,5
536,4551.42,45,0,2455.07,2096.35,0
537,9307.5,189,0,4953.59,4353.91,1
538,7675.09,27,0,5265.87,2409.22,4
539,4761.86,131,0,3505.33,1256.53,2
540,2428.73,143,15,1490.45,938.28,3
541,290.41,92,0,161.97,128.44,5
542,3491.74,129,0,2227.09,1264.65,2
543,9076.83,129,0,6221.7,2855.13,1
544,7581.14,4,0,4040.43,3540.71,4
545,1425.45,135,0,996.57,428.88,9
546,3503.48,138,0,2552.51,950.97,2
547,7410.03,117,0,6246.75,1163.28,7
548,3399.53,108,10,1737.17,1662.36,2
549,5822.04,26,25,3215.11,2606.93,8
550,3653.81,53,0,2080.55,1573.26,0
551,8710.06,153,0,5863.6,2846.46,1
552,588.66,172,0,433.51,155.15,9
553,7874.53,47,5,4504.57,3369.96,4
554,7692.6,196,0,4837.32,2855.28,1
555,9650.29,174,0,6822.12,2828.17,7
556,7120.53,116,0,4369.43,2751.1,1
557,5109.17,49,0,3254.02,1855.15,0
558,219.73,54,15,177.13,42.6,3
559,7990.0,102,10,4566.01,3423.99,1
560,6227.06,60,25,4776.68,1450.38,8
561,4254.85,29,0,2605.64,1649.21,0
562,9787.24,159,0,5601.47,4185.77,1
563,1238.73,40,5,952.99,285.74,5
564,4580.28,52,0,3842.07,738.21,0
565,1255.32,17,0,871.74,383.58,5
566,2066.43,127,0,1476.07,590.36,9
567,3884.54,106,0,2551.99,1332.55,2
568,6341.16,80,5,3220.31,3120.85,4
569,8001.81,117,0,4203.95,3797.86,1
570,6652.61,67,20,4385.92,2266.69,8
571,1229.91,134,0,793.86,436.05,9
572,6457.61,188,20,3995.31,2462.3,6
573,5992.18,83,0,3333.79,2658.39,0
574,2968.64,119,25,1688.31,1280.33,3
575,1243.69,17,0,644.57,599.12,5
576,2137.86,115,15,1715.62,422.24,3
577,226.11,63,0,178.3,47.81,5
578,4512.54,157,25,3266.13,1246.41,6
579,3572.97,107,15,2081.2,1491.77,3
580,312.89,52,20,171.56,141.33,3
581,5202.25,130,15,2603.54,2598.71,6
582,7336.61,59,0,5475.42,1861.19,4
583,9246.59,133,0,7565.62,1680.97,7
584,1533.98,195,0,915.27,618.71,9
585,1579.07,62,25,901.8,677.27,3
586,1026.94,198,20,556.03,470.91,3
587,4473.06,14,10,3019.94,1453.12,0
588,7307.85,178,0,5591.12,1716.73,7
589,6800.63,118,0,5778.0,1022.63,7
590,6262.97,65,0,3884.63,2378.34,0
591,5753.8,158,10,3458.36,2295.44,2
592,3008.88,101,0,2271.89,736.99,9
593,2884.11,97,10,1720.61,1163.5,3
594,1481.75,109,0,982.88,498.87,9
595,5512.98,104,20,3401.28,2111.7,6
596,4195.75,56,0,3240.04,955.71,0
597,487.36,44,15,280.18,207.18,3
598,9336.55,82,0,5148.67,4187.88,1
599,2320.44,52,0,1632.67,687.77,5
600,580.98,76,10,424.93,156.05,5
601,833.69,48,15,645.31,188.38,3
602,1466.28,63,0,1002.29,463.99,5
603,7243.01,114,25,5320.57,1922.44,6
604,9940.42,58,25,8070.64,1869.78,8
605,250.14,105,0,163.47,86.67,9
606,9378.43,91,0,7265.94,2112.49,7
607,1348.82,32,0,765.59,583.23,5
608,2159.09,195,0,1530.1,628.99,9
609,1544.62,120,20,1279.47,265.15,3
610,2617.04,79,0,1762.63,854.41,5
611,361.22,181,0,219.06,142.16,9
612,2378.4,167,0,1962.31,416.09,9
613,4385.66,84,0,3506.56,879.1,0
614,1951.69,42,5,1532.98,418.71,5
615,9592.87,59,15,6803.33,2789.54,8
616,7475.12,27,0,4602.64,2872.48,4
617,1311.01,116,20,1054.84,256.17,3
618,5207.66,168,0,3798.75,1408.91,2
619,1124.23,24,0,888.26,235.97,5
620,5692.14,34,5,4670.17,1021.97,0
